Name,Position,Age,Height,Weight,Salary,League
Khris Middleton,G/F,26,80,234,"$14,100,000.00 ",NBA
Darius Miller,G/F,27,80,225,"$2,100,000.00 ",NBA
Mike Miller,G/F,37,80,218,"$3,500,000.00 ",NBA
Patty Mills,PG,29,72,180,"$10,714,286.00 ",NBA
Elijah Millsap,G/F,30,78,215,"$1,524,305.00 ",NBA
Paul Millsap,F/C,32,80,246,"$31,269,231.00 ",NBA
Nikola Mirotic,F,26,82,260,"$12,500,000.00 ",NBA
Donovan Mitchell,G,21,75,215,"$2,621,280.00 ",NBA
Malik Monk,SG,19,75,200,"$2,904,480.00 ",NBA
Greg Monroe,F/C,27,83,265,"$17,884,176.00 ",NBA
E'Twaun Moore,G/F,28,76,191,"$8,445,024.00 ",NBA
Yanick Moreira,C,26,83,220,"$543,471.00 ",NBA
Eric Moreland,PF,26,82,238,"$1,739,333.00 ",NBA
Markieff Morris,F/C,28,82,245,"$8,000,000.00 ",NBA
Anthony Morrow,G/F,32,77,210,"$1,471,382.00 ",NBA
Timofey Mozgov,C,31,85,275,"$15,280,000.00 ",NBA
Emmanuel Mudiay,PG,21,77,200,"$3,381,480.00 ",NBA
Shabazz Muhammad,G/F,25,78,221,"$1,577,230.00 ",NBA
Jamal Murray,G,20,76,207,"$3,355,320.00 ",NBA
Mike Muscala,F/C,26,83,240,"$5,000,000.00 ",NBA
Abdel Nader,PF,24,78,225,"$1,167,333.00 ",NBA
Shabazz Napier,PG,26,73,175,"$2,361,360.00 ",NBA
Jameer Nelson,PG,35,72,190,"$1,429,818.00 ",NBA
Raul Neto,PG,25,73,179,"$1,471,382.00 ",NBA
Andrew Nicholson,PF,28,81,250,"$6,362,998.00 ",NBA
Joakim Noah,F/C,32,83,230,"$17,765,000.00 ",NBA
Nerlens Noel,F/C,23,83,220,"$4,187,599.00 ",NBA
Lucas Nogueira,F/C,25,84,241,"$2,947,305.00 ",NBA
Dirk Nowitzki,F/C,39,84,245,"$5,000,000.00 ",NBA
Frank Ntilikina,PG,19,77,190,"$3,501,120.00 ",NBA
Jusuf Nurkic,C,23,84,275,"$2,947,305.00 ",NBA
David Nwaba,G/F,24,76,219,"$1,312,611.00 ",NBA
Johnny O'Bryant III,PF,24,81,257,"$1,524,305.00 ",NBA
Royce O'Neale,SF,24,78,226,"$815,615.00 ",NBA
Kyle O'Quinn,F/C,27,82,250,"$4,087,500.00 ",NBA
Daniel Ochefu,C,24,83,245,"$1,312,611.00 ",NBA
